Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,Autenticacao,TipoVeiculo,SiglaCombustivel,DataConsulta
"R$ 131.193,00",Alfa Romeo,Spider 2.0/3.0,1996,Gasolina,006007-0,outubro de 2023 ,g84s4x3dhbp,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 69.659,00",Alfa Romeo,Spider 2.0/3.0,1995,Gasolina,006007-0,outubro de 2023 ,5n2cmbh806c,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 38.843,00",Alfa Romeo,Spider 2.0/3.0,1993,Gasolina,006007-0,outubro de 2023 ,s0rpjc4w47c,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 28.021,00",Alfa Romeo,Spider 2.0/3.0,1992,Gasolina,006007-0,outubro de 2023 ,nxv6z53g2fc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 21.066,00",Alfa Romeo,Spider 2.0/3.0,1991,Gasolina,006007-0,outubro de 2023 ,k89834y51bc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 24.470,00",Alfa Romeo,145 QV,1998,Gasolina,006008-9,outubro de 2023 ,mk7jw73hwz,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 18.182,00",Alfa Romeo,145 QV,1997,Gasolina,006008-9,outubro de 2023 ,j6h1hjq9ck,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 17.738,00",Alfa Romeo,145 QV,1996,Gasolina,006008-9,outubro de 2023 ,j09npvm4cq,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 26.501,00",Alfa Romeo,145 Elegant 1.7/1.8 16V,1999,Gasolina,006009-7,outubro de 2023 ,nb1q9xxgyl,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 20.695,00",Alfa Romeo,145 Elegant 1.7/1.8 16V,1998,Gasolina,006009-7,outubro de 2023 ,k4zfv2cl9x,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 14.765,00",Alfa Romeo,145 Elegant 1.7/1.8 16V,1997,Gasolina,006009-7,outubro de 2023 ,hxf17qfp07,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 13.918,00",Alfa Romeo,145 Elegant 1.7/1.8 16V,1996,Gasolina,006009-7,outubro de 2023 ,hlh6md93yd,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 62.888,00",Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,2002,Gasolina,006010-0,outubro de 2023 ,23n9zfn27bc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 51.491,00",Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,2001,Gasolina,006010-0,outubro de 2023 ,ys1vlz8jrsc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 50.235,00",Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,2000,Gasolina,006010-0,outubro de 2023 ,ybbbkbdf2wc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 49.009,00",Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,1999,Gasolina,006010-0,outubro de 2023 ,xvyqjg7r9tc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
